Round,Random #1 Points, Random #1 Deadwood, Random #2 Points, Random #2 Deadwood
463,0,62,0,45
464,0,58,0,45
465,0,58,0,48
466,0,62,0,48
467,0,62,0,45
468,0,62,0,45
469,0,62,0,40
470,0,65,0,40
471,0,65,0,49
472,0,60,0,49
473,0,60,0,28
474,0,38,0,28
475,0,38,0,49
476,0,43,0,49
477,0,43,0,50
478,0,36,0,50
479,0,36,0,31
480,0,33,0,31
481,0,33,0,32
482,0,39,0,32
483,0,39,0,34
484,0,36,0,34
485,0,36,0,41
486,0,38,0,41
487,0,38,0,32
488,0,68,0,32
489,0,68,0,32
490,0,68,0,32
491,0,68,0,58
492,0,67,0,58
493,0,67,0,65
494,0,50,0,65
495,0,50,0,64
496,0,46,0,64
497,0,46,0,64
498,0,61,0,64
499,0,61,0,61
500,0,66,0,61
501,0,66,0,45
502,0,69,0,45
503,0,69,0,46
504,0,73,0,46
505,0,73,0,41
506,0,49,0,41
507,0,49,0,61
508,0,69,0,61
509,0,69,0,64
510,0,70,0,64
511,0,70,0,69
512,0,70,0,69
513,0,70,0,64
514,0,73,0,64
515,0,73,0,70
516,0,72,0,70
517,0,46,0,52
518,0,73,0,52
519,0,73,0,52
520,0,81,0,52
521,0,81,0,49
522,0,74,0,49
523,0,74,0,57
524,0,68,0,57
525,0,68,0,64
526,0,61,0,64
527,0,61,0,71
528,0,62,0,71
529,0,62,0,67
530,0,61,0,67
531,0,61,0,76
532,0,59,0,76
533,0,59,0,78
534,0,56,0,78
535,0,56,0,76
536,0,49,0,76
537,0,49,0,82
538,0,49,0,82
539,0,49,0,83
540,0,53,0,83
541,0,53,0,81
542,0,48,0,81
543,0,48,0,81
544,0,54,0,81
545,0,54,0,74
546,0,54,0,74
547,0,54,0,73
548,0,54,0,73
549,0,54,0,66
550,0,56,0,66
551,0,56,0,66
552,0,56,0,66
553,0,56,0,67
554,0,56,0,67
555,0,56,0,60
556,0,56,0,60
557,0,56,0,62
558,0,38,0,62
559,0,38,0,55
560,0,39,0,55
561,0,39,0,56
562,0,34,0,56
563,0,34,0,65
564,0,33,0,65
565,0,33,0,70
566,0,28,0,70
567,0,28,0,68
568,0,17,0,68
569,0,17,0,72
570,0,38,0,72
571,0,38,0,67
572,0,41,0,67
573,0,41,0,43
574,0,57,0,43
575,0,57,0,30
576,0,61,0,30
577,0,61,0,26
578,0,68,0,26
579,0,68,0,32
580,0,69,0,50
581,0,69,0,59
582,0,60,0,59
583,0,60,0,58
584,0,68,0,58
585,0,68,0,63
586,0,47,0,63
587,0,47,0,63
588,0,52,0,63
589,0,52,0,66
590,0,65,0,66
591,0,65,0,65
592,0,66,0,65
593,0,66,0,69
594,0,59,0,69
595,0,59,0,67
596,0,46,0,67
597,0,46,0,69
598,0,46,0,69
599,0,46,0,69
600,0,51,0,69
601,0,51,0,47
602,0,54,0,47
603,0,54,0,53
604,0,60,0,53
605,0,60,0,54
606,0,52,0,54
607,0,52,0,50
608,0,45,0,50
609,0,45,0,55
610,0,24,0,55
611,0,24,0,57
612,0,32,0,57
613,0,32,0,71
614,0,36,0,71
615,0,36,0,68
616,0,40,0,68
617,0,40,0,68
618,0,36,0,68
619,0,36,0,69
620,0,37,0,69
621,0,37,0,71
622,0,38,0,71
623,0,38,0,73
624,0,47,0,73
625,0,47,0,64
626,0,67,0,64
627,0,67,0,57
628,0,65,0,57
629,0,65,0,58
630,0,65,0,58
631,0,65,0,61
632,0,57,0,61
633,0,57,0,69
634,0,50,0,69
635,0,50,0,68
636,0,50,0,68
637,0,50,0,69
638,0,56,0,69
639,0,56,0,74
640,0,52,0,74
641,0,52,0,67
642,0,57,0,67
643,0,57,0,69
644,0,50,0,69
645,0,50,0,78
646,0,57,0,78
647,0,57,0,73
648,0,55,0,73
649,0,55,0,79
650,0,51,0,79
651,0,51,0,47
652,0,64,0,57
653,0,64,0,64
654,0,57,0,64
655,0,57,0,73
656,0,51,0,73
657,0,51,0,78
658,0,35,0,78
659,0,35,0,71
660,0,34,0,71
661,0,34,0,38
662,0,28,0,38
663,0,28,0,77
664,0,41,0,77
665,0,41,0,70
666,0,41,0,70
667,0,41,0,67
668,0,46,0,67
669,0,46,0,63
670,0,54,0,63
671,0,54,0,36
672,0,60,0,36
673,0,60,0,27
674,0,67,0,27
675,0,67,0,24
676,0,67,0,24
677,0,67,0,50
678,0,71,0,50
679,0,71,0,45
680,0,68,0,45
681,0,68,0,57
682,0,75,0,57
683,0,75,0,50
684,0,70,0,50
685,0,70,0,56
686,0,65,0,56
687,0,65,0,59
688,0,60,0,59
689,0,60,0,68
690,0,51,0,68
691,0,51,0,75
692,0,51,0,75
693,0,51,0,74
694,0,33,0,74
695,0,33,0,70
696,0,52,0,70
697,0,52,0,72
698,0,48,0,72
699,0,48,0,77
700,0,45,0,77
701,0,45,0,77
702,0,38,0,77
703,0,38,0,77
704,0,47,0,77
705,0,47,0,77
706,0,47,0,77
707,0,47,0,77
708,0,41,0,77
709,0,41,0,51
710,0,48,0,51
711,0,48,0,39
712,0,54,0,39
713,0,54,0,69
714,0,61,0,69
715,0,61,0,62
716,0,62,0,62
717,0,62,0,60
718,0,56,0,57
719,0,56,0,55
720,0,56,0,55
721,0,56,0,59
722,0,55,0,59
723,0,55,0,67
724,0,69,0,67
725,0,69,0,63
726,0,68,0,63
727,0,68,0,57
728,0,67,0,57
729,0,67,0,54
730,0,50,0,54
731,0,50,0,49
732,0,56,0,49
733,0,56,0,47
734,0,56,0,47
735,0,56,0,56
736,0,54,0,56
737,0,54,0,48
738,0,76,0,48
739,0,76,0,45
740,0,76,0,45
741,0,76,0,53
742,0,76,0,53
743,0,76,0,59
744,0,72,0,59
745,0,72,0,59
746,0,67,0,59
747,0,67,0,58
748,0,70,0,58
749,0,70,0,60
750,0,61,0,60
751,0,61,0,67
752,0,32,0,67
753,0,32,0,75
754,0,49,0,75
755,0,49,0,76
756,0,59,0,76
757,0,59,0,76
758,0,60,0,76
759,0,60,0,69
760,0,64,0,69
761,0,64,0,65
762,0,68,0,65
763,0,68,0,57
764,0,46,0,57
765,0,46,0,59
766,0,43,0,59
767,0,43,0,58
768,0,46,0,58
769,0,46,0,63
770,0,38,0,63
771,0,38,0,70
772,0,40,0,70
773,0,40,0,62
774,0,35,0,62
775,0,35,0,69
776,0,51,0,69
777,0,51,0,40
778,0,53,0,43
779,0,53,0,46
780,0,58,0,46
781,0,58,0,45
782,0,59,0,45
783,0,59,0,45
784,0,66,0,45
785,0,66,0,41
786,0,66,0,41
787,0,66,0,64
788,0,69,0,64
789,0,69,0,61
790,0,71,0,61
791,0,71,0,63
792,0,64,0,63
793,0,64,0,61
794,0,56,0,61
795,0,56,0,64
796,0,61,0,64
797,0,61,0,51
798,0,58,0,51
799,0,58,0,50
800,0,62,0,50
801,0,62,0,42
802,0,34,0,42
803,0,34,0,62
804,0,30,0,62
805,0,30,0,63
806,0,57,0,63
807,0,57,0,70
808,0,52,0,70
809,0,52,0,71
810,0,51,0,71
811,0,51,0,75
812,0,44,0,75
813,0,44,0,76
814,0,46,0,76
815,0,46,0,74
816,0,51,0,74
817,0,51,0,67
818,0,51,0,67
819,0,51,0,71
820,0,52,0,71
821,0,52,0,71
822,0,52,0,71
823,0,52,0,66
824,0,57,0,66
825,0,57,0,62
826,0,57,0,62
827,0,57,0,63
828,0,55,0,63
829,0,55,0,56
830,0,55,0,56
831,0,55,0,64
832,0,52,0,64
833,0,52,0,63
834,0,44,0,63
835,0,73,0,47
836,0,66,0,47
837,0,66,0,59
838,0,61,0,59
839,0,61,0,63
840,0,59,0,63
841,0,59,0,64
842,0,59,0,64
843,0,59,0,57
844,0,59,0,57
845,0,59,0,57
846,0,59,0,57
847,0,59,0,66
848,0,61,0,66
849,0,61,0,63
850,0,68,0,63
851,0,68,0,63
852,0,77,0,63
853,0,77,0,71
854,0,69,0,71
855,0,69,0,71
856,0,74,0,71
857,0,74,0,68
858,0,47,0,68
859,0,47,0,73
860,0,43,0,73
861,0,43,0,75
862,0,47,0,75
863,0,47,0,78
864,0,39,0,78
865,0,39,0,71
866,0,47,0,71
867,0,47,0,41
868,0,48,0,41
869,0,48,0,45
870,0,46,0,45
871,0,46,0,37
872,0,48,0,37
873,0,48,0,42
874,0,46,0,42
875,0,46,0,40
876,0,40,0,40
877,0,40,0,69
878,0,40,0,69
879,0,40,0,69
880,0,40,0,69
881,0,40,0,72
882,0,37,0,72
883,0,37,0,73
884,0,27,0,73
885,0,27,0,75
886,0,41,0,75
887,0,41,0,67
888,0,47,0,67
889,0,47,0,67
890,0,54,0,67
891,0,33,0,24
892,0,36,0,24
893,0,36,0,42
894,0,65,0,42
895,0,65,0,58
896,0,64,0,58
897,0,64,0,67
898,0,60,0,67
899,0,60,0,66
900,0,63,0,66
901,0,63,0,61
902,0,61,0,61
903,0,61,0,51
904,0,59,0,51
905,0,59,0,23
906,0,53,0,23
907,0,53,0,25
908,0,56,0,25
909,0,56,0,55
910,0,57,0,55
911,0,57,0,55
912,0,65,0,55
913,0,65,0,55
914,0,66,0,55
915,0,66,0,60
916,0,40,0,60
917,0,40,0,60
918,0,41,0,60
919,0,41,0,63
920,0,45,0,63
921,0,45,0,68
922,0,39,0,68
923,0,39,0,72
924,0,52,0,72
925,0,52,0,65
926,0,61,0,65
927,0,61,0,60
928,0,65,0,60
929,0,65,0,65
930,0,76,0,65
931,0,76,0,66
932,0,78,0,66
933,0,78,0,63
934,0,74,0,63
935,0,74,0,63
936,0,74,0,63
937,0,74,0,68
938,0,79,0,68
939,0,79,0,63
940,0,79,0,63
941,0,79,0,71
942,0,79,0,71
943,0,77,0,22
944,0,72,0,22
945,0,72,0,29
946,0,65,0,29
947,0,65,0,49
948,0,56,0,49
949,0,56,0,56
950,0,57,0,56
951,0,57,0,55
952,0,50,0,55
953,0,50,0,38
954,0,57,0,38
955,0,57,0,38
956,0,36,0,38
957,0,36,0,38
958,0,37,0,38
959,0,37,0,64
960,0,28,0,64
961,0,28,0,68
962,0,26,0,68
963,0,26,0,65
964,0,25,0,65
965,0,25,0,63
966,0,32,0,63
967,0,32,0,64
968,0,59,0,64
969,0,59,0,65
970,0,59,0,65
971,0,59,0,56
972,0,61,0,56
973,0,61,0,55
974,0,70,0,55
975,0,70,0,52
976,0,73,0,52
977,0,73,0,49
978,0,77,0,49
979,0,77,0,52
980,0,79,0,52
981,0,79,0,49
982,0,50,0,49
983,0,50,0,50
984,0,77,0,50
985,0,77,0,53
986,0,53,0,53
987,0,53,0,61
988,0,69,0,61
989,0,69,0,57
990,0,76,0,57
991,0,76,0,59
992,0,74,0,59
993,0,74,0,66
994,0,65,0,66
995,0,65,0,66
996,0,63,0,66
997,0,63,0,62
998,0,59,0,62
999,0,59,0,66
1000,0,45,0,66
1001,0,45,0,64
1002,0,62,0,70
1003,0,62,0,63
1004,0,63,0,63
1005,0,63,0,61
1006,0,69,0,61
1007,0,69,0,54
1008,0,73,0,54
1009,0,73,0,56
1010,0,73,0,56
1011,0,73,0,58
1012,0,69,0,58
1013,0,69,0,60
1014,0,66,0,60
1015,0,66,0,69
1016,0,62,0,69
1017,0,62,0,72
1018,0,61,0,72
1019,0,61,0,64
1020,0,62,0,64
1021,0,62,0,65
1022,0,70,0,65
1023,0,70,0,50
1024,0,72,0,50
1025,0,72,0,57
1026,0,64,0,57
1027,0,64,0,44
1028,0,57,0,44
1029,0,57,0,39
1030,0,61,0,39
1031,0,61,0,36
1032,0,60,0,36
1033,0,60,0,41
1034,0,56,0,41
1035,0,56,0,37
1036,0,56,0,37
1037,0,56,0,46
1038,0,57,0,46
1039,0,57,0,43
1040,0,52,0,43
1041,0,52,0,43
1042,0,60,0,43
1043,0,60,0,60
1044,0,59,0,60
1045,0,59,0,61
1046,0,57,0,61
1047,0,57,0,64
1048,0,58,0,64
1049,0,58,0,58
1050,0,63,0,58
1051,0,63,0,54
1052,0,65,0,54
1053,0,65,0,61
1054,0,59,0,61
1055,0,59,0,62
1056,0,64,0,62
1057,0,64,0,60
1058,0,57,0,60
1059,0,57,0,60
1060,0,61,0,60
1061,0,44,0,38
1062,0,46,0,38
1063,0,46,0,43
1064,0,45,0,43
1065,0,45,0,73
1066,0,48,0,73
1067,0,48,0,66
1068,0,44,0,66
1069,0,44,0,57
1070,0,40,0,57
1071,0,40,0,62
1072,0,31,0,62
1073,0,31,0,67
1074,0,27,0,67
1075,0,27,0,72
1076,0,30,0,72
1077,0,30,0,64
1078,0,44,0,64
1079,0,44,0,56
1080,0,41,0,56
1081,0,41,0,56
1082,0,45,0,56
1083,0,45,0,34
1084,0,54,0,34
1085,0,54,0,35
1086,0,54,0,35
1087,0,54,0,39
1088,0,50,0,39
1089,0,50,0,47
1090,0,47,0,47
1091,0,47,0,39
1092,0,54,0,39
1093,0,54,0,60
1094,0,58,0,60
1095,0,58,0,49
1096,0,62,0,49
1097,0,62,0,60
1098,0,64,0,60
1099,0,64,0,61
1100,0,66,0,61
1101,0,66,0,48
1102,0,67,0,48
1103,0,67,0,61
1104,0,60,0,61
1105,0,60,0,69
1106,0,61,0,69
1107,0,61,0,71
1108,0,39,0,71
1109,0,39,0,64
1110,0,38,0,64
1111,0,38,0,69
1112,0,81,0,56
1113,0,81,0,54
1114,0,81,0,54
1115,0,81,0,63
1116,0,74,0,63
1117,0,74,0,61
1118,0,74,0,61
1119,0,74,0,68
1120,0,67,0,68
1121,0,67,0,61
1122,0,61,0,61
1123,0,61,0,63
1124,0,65,0,63
1125,0,65,0,54
1126,0,57,0,54
1127,0,57,0,47
1128,0,60,0,47
1129,0,60,0,46
1130,0,65,0,46
1131,0,65,0,47
1132,0,58,0,47
1133,0,58,0,47
1134,0,65,0,47
1135,0,65,0,44
1136,0,69,0,44
1137,0,69,0,47
1138,0,63,0,47
1139,0,63,0,54
1140,0,65,0,54
1141,0,65,0,52
1142,0,65,0,52
1143,0,65,0,58
1144,0,62,0,58
1145,0,62,0,58
1146,0,54,0,58
1147,0,54,0,58
1148,0,59,0,58
1149,0,59,0,53
1150,0,67,0,53
1151,0,67,0,53
1152,0,59,0,53
1153,0,59,0,53
1154,0,65,0,53
1155,0,65,0,46
1156,0,60,0,46
1157,0,60,0,44
1158,0,63,0,44
1159,0,63,0,33
1160,0,57,0,33
1161,0,57,0,37
1162,0,57,0,37
1163,0,57,0,37
1164,0,64,0,37
1165,0,64,0,37
1166,0,60,0,37
1167,0,58,0,43
1168,0,58,0,43
1169,0,58,0,58
1170,0,53,0,58
1171,0,53,0,33
1172,0,62,0,33
1173,0,62,0,29
1174,0,70,0,29
1175,0,70,0,21
1176,0,62,0,21
1177,0,62,0,42
1178,0,62,0,42
1179,0,62,0,39
1180,0,60,0,39
1181,0,60,0,43
1182,0,63,0,43
1183,0,63,0,22
1184,0,63,0,22
1185,0,63,0,38
1186,0,71,0,38
1187,0,71,0,36
1188,0,73,0,36
1189,0,73,0,36
1190,0,73,0,36
1191,0,73,0,36
1192,0,80,0,36
1193,0,80,0,30
1194,0,85,0,30
1195,0,85,0,25
1196,0,81,0,25
1197,0,81,0,30
1198,0,78,0,30
1199,0,78,0,30
1200,0,48,0,30
1201,0,48,0,46
1202,0,46,0,46
1203,0,46,0,36
1204,0,42,0,36
1205,0,42,0,39
1206,0,43,0,39
1207,0,43,0,38
1208,0,43,0,38
1209,0,43,0,62
1210,0,47,0,62
1211,0,47,0,61
1212,0,47,0,61
1213,0,47,0,65
1214,0,40,0,65
1215,0,40,0,73
1216,0,35,0,73
1217,0,35,0,70
1218,0,41,0,70
1219,0,41,0,70
1220,0,42,0,70
1221,0,42,0,68
1222,0,42,0,68
1223,0,42,0,42
1224,0,50,0,42
1225,0,50,0,69
1226,0,52,0,69
1227,0,57,0,41
1228,0,62,0,41
1229,0,62,0,32
1230,0,62,0,32
1231,0,62,0,63
1232,0,64,0,63
1233,0,64,0,57
1234,0,37,0,57
1235,0,37,0,57
1236,0,59,0,57
1237,0,59,0,62
1238,0,51,0,62
1239,0,51,0,69
1240,0,55,0,69
1241,0,55,0,77
1242,0,47,0,77
1243,0,47,0,56
1244,0,39,0,56
1245,0,39,0,55
1246,0,44,0,55
1247,0,44,0,53
1248,0,42,0,53
1249,0,42,0,53
1250,0,46,0,53
1251,0,46,0,79
1252,0,54,0,79
1253,0,54,0,74
1254,0,42,0,74
1255,0,42,0,74
1256,0,50,0,74
1257,0,50,0,75
1258,0,55,0,75
1259,0,55,0,79
1260,0,51,0,79
1261,0,51,0,49
1262,0,54,0,49
1263,0,54,0,28
1264,0,63,0,28
1265,0,63,0,51
1266,0,63,0,51
1267,0,63,0,51
1268,0,71,0,51
1269,0,71,0,67
1270,0,67,0,67
1271,0,67,0,74
1272,0,67,0,74
1273,0,67,0,70
1274,0,65,0,70
1275,0,65,0,63
1276,0,65,0,63
1277,0,65,0,68
1278,0,74,0,68
1279,0,74,0,64
1280,0,53,0,64
1281,0,53,0,62
1282,0,76,0,62
1283,0,76,0,66
1284,0,80,0,66
1285,0,80,0,69
1286,0,80,0,69
1287,0,80,0,64
1288,0,72,0,64
1289,0,72,0,64
1290,0,72,0,64
1291,0,72,0,64
1292,0,49,0,64
1293,0,49,0,66
1294,0,71,0,67
1295,0,71,0,50
1296,0,68,0,50
1297,0,68,0,46
1298,0,67,0,46
1299,0,67,0,54
1300,0,60,0,54
1301,0,60,0,53
1302,0,64,0,53
1303,0,64,0,48
1304,0,63,0,48
1305,0,63,0,49
1306,0,35,0,49
1307,0,35,0,50
1308,0,36,0,50
1309,0,36,0,75
1310,0,43,0,75
1311,0,43,0,74
1312,0,53,0,74
1313,0,53,0,49
1314,0,53,0,49
1315,0,53,0,40
1316,0,75,0,40
1317,0,75,0,36
1318,0,75,0,36
1319,0,75,0,37
1320,0,68,0,37
1321,0,68,0,38
1322,0,67,0,38
1323,0,67,0,37
1324,0,62,0,37
1325,0,62,0,58
1326,0,48,0,58
1327,0,48,0,61
1328,0,54,0,61
1329,0,54,0,54
1330,0,59,0,54
1331,0,59,0,52
1332,0,56,0,52
1333,0,56,0,30
1334,0,34,0,30
1335,0,34,0,30
1336,0,62,0,30
1337,0,62,0,35
1338,0,49,0,35
1339,0,49,0,42
1340,0,54,0,42
1341,0,54,0,41
1342,0,54,0,41
1343,0,54,0,37
1344,0,68,0,37
1345,0,68,0,38
1346,0,56,0,38
1347,0,56,0,43
1348,0,65,0,43
1349,0,65,0,42
1350,0,78,0,42
1351,0,78,0,58
1352,0,63,0,67
1353,0,63,0,69
1354,0,59,0,69
1355,0,59,0,74
