"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: reduceCards"
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000119,0.000000,"s/op",30
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000087,0.000000,"s/op",29
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000064,0.000000,"s/op",28
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000049,0.000000,"s/op",27
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000037,0.000000,"s/op",26
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000029,0.000000,"s/op",25
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000023,0.000000,"s/op",24
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000018,0.000000,"s/op",23
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000015,0.000000,"s/op",22
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000012,0.000000,"s/op",21
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000010,0.000000,"s/op",20
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000008,0.000000,"s/op",19
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000007,0.000000,"s/op",18
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000006,0.000000,"s/op",17
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000005,0.000000,"s/op",16
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000004,0.000000,"s/op",15
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000004,0.000000,"s/op",14
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000003,0.000000,"s/op",13
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000003,0.000000,"s/op",12
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000002,0.000000,"s/op",11
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000002,0.000000,"s/op",10
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000002,0.000000,"s/op",9
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000002,0.000000,"s/op",8
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000001,0.000000,"s/op",7
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000001,0.000000,"s/op",6
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000001,0.000000,"s/op",5
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000001,0.000000,"s/op",4
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.000001,0.000000,"s/op",3
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.0000005,0.000000,"s/op",2
"benchmarks.AdvancedMeldDetectorBenchmark.benchmark","avgt",1,100,0.0000005,0.000000,"s/op",1
